[Header]
Measurement Name = "EQE"
File Path = "/C/Users/Administrador/Documents/Roberto CICATA/EQE/EQE.TRQ"
time stamp = "07/08/2009 11:02:30 a.m."
Scan Type = "QE Scan"
X Units = "Wavelength (nm)"
Y Units = "QE (%)"

//DATA//
X	Y	Calculated
300.017	0.03528	58.06996
301.992	0.03723	59.40507
304.005	0.03961	60.75801
306.016	0.04175	62.07649
307.991	0.04382	63.10497
310.002	0.04626	64.4626
312.012	0.04846	66.98625
313.985	0.05066	69.82415
315.994	0.05292	72.5021
318.003	0.05542	75.13278
320.012	0.05841	77.3057
321.982	0.06122	76.8039
323.99	0.06403	76.02697
325.997	0.06635	75.16071
328.003	0.06958	73.98091
330.009	0.07239	72.62933
332.014	0.07538	69.56987
333.982	0.07886	66.26505
335.987	0.08203	62.77009
337.99	0.08508	59.27196
339.994	0.08844	56.67125
341.996	0.091	56.5779
343.999	0.09436	57.45807
346	0.09723	58.27669
348.001	0.10077	59.72422
350.002	0.10358	60.34451
352.002	0.10651	61.55788
354.001	0.10913	62.66553
356	0.112	64.15428
357.998	0.11475	66.2606
359.996	0.11755	66.78353
361.993	0.12085	67.49153
363.99	0.12427	67.94595
365.986	0.1272	67.49932
367.982	0.13117	67.56276
370.013	0.13489	67.73164
372.008	0.13739	68.39855
374.002	0.14105	68.86681
375.995	0.14459	69.01379
377.987	0.14874	69.60223
380.016	0.15357	69.96781
382.007	0.15692	70.55946
383.998	0.15906	70.85584
385.988	0.16266	71.47378
388.014	0.16742	72.26566
390.003	0.17371	72.93113
391.991	0.17987	73.66569
394.016	0.18915	74.23083
396.003	0.19849	75.40137
397.989	0.20191	75.86948
400.012	0.1983	76.57362
401.997	0.19659	76.95932
404.018	0.19861	77.28281
406.002	0.20227	78.07294
407.985	0.20752	78.53978
410.004	0.21295	79.3574
411.986	0.21552	79.63236
414.004	0.21686	80.21363
415.985	0.21802	80.51625
418.001	0.22498	81.0599
420.017	0.22961	81.15087
421.996	0.22662	82.38521
424.01	0.22534	81.8546
425.988	0.22754	82.58208
428.001	0.22907	82.58171
430.013	0.23071	83.27195
431.988	0.23285	85.21498
433.999	0.23639	84.00414
436.01	0.24213	84.11859
437.983	0.24878	84.22249
439.992	0.2486	84.69598
442	0.24756	84.9017
444.007	0.24677	84.98446
446.014	0.24909	84.7406
447.983	0.27124	85.45346
449.989	0.29462	84.66716
451.993	0.2854	85.00643
453.997	0.27655	85.32301
456	0.28644	84.94017
458.002	0.29822	85.6218
460.004	0.31684	86.58055
462.005	0.3465	86.32807
464.005	0.3534	86.63116
466.004	0.40076	86.71167
468.003	0.42767	87.15679
470	0.37372	86.36896
471.997	0.36371	87.21521
473.994	0.33881	86.88113
475.989	0.30213	87.61296
477.984	0.30823	88.13178
480.014	0.34125	87.93625
482.007	0.35138	88.22068
483.999	0.33173	87.91512
485.991	0.30939	88.02922
488.018	0.30359	88.59253
490.007	0.32538	89.75622
491.997	0.34571	89.34946
493.985	0.32373	89.31431
496.008	0.30414	89.85021
497.995	0.29639	89.47283
500.017	0.29541	89.4226
502.002	0.29785	90.0272
503.986	0.29724	89.34955
506.006	0.29505	89.52472
507.988	0.29328	89.10088
510.006	0.29499	89.72339
511.986	0.29645	89.52021
514.002	0.29657	89.77341
516.017	0.29602	89.73491
517.996	0.29535	90.2052
520.009	0.297	90.3536
521.986	0.2948	90.2739
523.997	0.29419	90.2754
526.008	0.29456	90.642
528.018	0.29358	90.6475
529.991	0.29303	90.83
531.999	0.29212	90.9877
534.006	0.29193	90.665
536.012	0.29218	91.7924
538.018	0.29108	91.3805
539.986	0.29053	91.09
541.99	0.29175	91.1159
543.992	0.29157	91.657
545.994	0.29004	91.0257
547.995	0.29047	92.2204
549.994	0.28894	91.4447
551.993	0.28876	92.105
553.991	0.28851	92.7539
555.988	0.28723	92.3792
557.984	0.28632	92.17
560.015	0.28601	93.1231
562.009	0.28418	92.4219
564.002	0.28327	92.7166
565.994	0.28235	92.1309
567.986	0.28339	92.6028
570.011	0.28314	92.7884
572.001	0.28217	92.74
573.989	0.28064	92.4899
576.012	0.28015	92.4769
577.998	0.28058	92.5144
579.984	0.28021	92.5426
582.004	0.28089	92.8744
583.987	0.28217	93.2167
586.005	0.28052	92.6285
587.986	0.27912	92.2368
590.002	0.27698	92.2822
592.017	0.27429	92.6661
593.995	0.2702	92.1657
596.008	0.26544	91.8019
597.984	0.26178	91.8581
599.994	0.25867	91.7925
602.004	0.25781	92.4222
604.012	0.2547	92.1573
605.984	0.25488	92.9818
607.991	0.25293	92.5552
609.996	0.25256	92.3777
612	0.25568	92.7625
614.003	0.25745	92.2594
616.005	0.25928	92.5503
618.006	0.26172	92.4322
620.006	0.26197	91.8743
622.005	0.25922	92.0151
624.003	0.25488	92.37
625.999	0.25104	92.4614
627.995	0.24756	92.7833
629.989	0.24567	92.9663
632.017	0.24133	92.4858
634.009	0.2381	92.2133
636	0.23364	92.7403
637.99	0.22955	92.63
640.014	0.2254	92.3997
642.001	0.22327	92.9988
643.988	0.22388	93.1824
646.008	0.22791	92.2168
647.992	0.23346	93.0201
650.01	0.22894	92.6262
651.992	0.21796	93.0334
654.008	0.20953	92.2012
655.987	0.20557	92.5974
658	0.2016	92.8669
660.012	0.19775	92.417
661.988	0.20099	93.0248
663.998	0.20758	92.5101
666.006	0.21729	93.2443
668.013	0.22382	93.2256
669.985	0.22821	92.5102
671.989	0.23511	92.5544
673.993	0.24091	92.94
675.995	0.24304	92.4148
677.996	0.24439	92.3667
679.996	0.25153	91.806
681.994	0.27667	92.5012
683.992	0.28717	92.5697
685.988	0.28827	92.8659
688.017	0.29553	92.2723
690.01	0.28919	93.1359
